Country,Year,Air transport CO2 emissions
New Zealand,2013,2902952.783
New Zealand,2014,2938398.619
New Zealand,2015,3162753.828
New Zealand,2016,3384616.366
New Zealand,2017,3510877.156
New Zealand,2018,3795691.039
New Zealand,2019,3750995.124
New Zealand,2020,1930131.255
New Zealand,2021,1491145.508
New Zealand,2022,2152884.653
New Zealand,2023,3157574.825
New Zealand,2024,3281622.386
Norway,2013,3766754.152
Norway,2014,4540607.249
Norway,2015,4728295.706
Norway,2016,4201076.195
Norway,2017,4354641.554
Norway,2018,4847239.565
Norway,2019,4502752.429
Norway,2020,1267666.327
Norway,2021,1252494.376
Norway,2022,2016830.645
Norway,2023,2428401.055
Norway,2024,2631275.684
Poland,2013,870401.799
Poland,2014,890825.6517
Poland,2015,797570.063
Poland,2016,1058396.468
Poland,2017,1482570.11
Poland,2018,1938813.531
Poland,2019,2640567.773
Poland,2020,1186276.702
Poland,2021,2034342.209
Poland,2022,3771763.36
Poland,2023,4271449.297
Poland,2024,4604706.229
Portugal,2013,3281539.459
Portugal,2014,3413561.575
Portugal,2015,3430051.512
Portugal,2016,3357195.206
Portugal,2017,3768577.193
Portugal,2018,4079757.277
Portugal,2019,4704247.667
Portugal,2020,1881560.634
Portugal,2021,2696174.024
Portugal,2022,4287259.27
Portugal,2023,4707579.594
Portugal,2024,4941500.66
Slovak Republic,2013,35082.5642
Slovak Republic,2014,62687.49577
Slovak Republic,2015,61343.90657
Slovak Republic,2016,25141.64201
Slovak Republic,2017,15128.66041
Slovak Republic,2018,47728.9526
Slovak Republic,2019,53571.74282
Slovak Republic,2020,16599.8271
Slovak Republic,2021,23194.4153
Slovak Republic,2022,69240.58235
Slovak Republic,2023,82579.94943
Slovak Republic,2024,90503.62922
Slovenia,2013,107849.0693
Slovenia,2014,116917.7709
Slovenia,2015,142775.9714
Slovenia,2016,202633.6811
Slovenia,2017,144163.3678
Slovenia,2018,152230.9118
Slovenia,2019,143752.1696
Slovenia,2020,15479.01892
Slovenia,2021,35400.32927
Slovenia,2022,16695.06522
Slovenia,2023,12094.4005
Slovenia,2024,28882.96009
Spain,2013,9108017.488
Spain,2014,9689513.637
Spain,2015,10612669.54
Spain,2016,11197284.5
Spain,2017,11697878.43
Spain,2018,12569629.68
Spain,2019,13304341.5
Spain,2020,4813030.59
Spain,2021,6867216.449
Spain,2022,11607897.37
Spain,2023,13003604.58
Spain,2024,14171813.39
Sweden,2013,1894457.227
Sweden,2014,1930739.613
Sweden,2015,1930172.175
Sweden,2016,2388114.972
Sweden,2017,2429050.058
Sweden,2018,2281071.803
Sweden,2019,2174716.559
Sweden,2020,767675.4532
Sweden,2021,987536.7733
Sweden,2022,2220341.479
Sweden,2023,2591143.793
Sweden,2024,2801740.285
Switzerland,2013,4887944.57
Switzerland,2014,4938896.629
Switzerland,2015,4997884.091
Switzerland,2016,5300764.586
Switzerland,2017,5309243.631
Switzerland,2018,5533670.397
Switzerland,2019,6334967.365
Switzerland,2020,2344514.218
Switzerland,2021,2956587.798
Switzerland,2022,4736665.371
Switzerland,2023,5127439.667
Switzerland,2024,5390782.466
Türkiye,2013,12365754.69
Türkiye,2014,14533548.79
Türkiye,2015,16964540.52
Türkiye,2016,18562490.44
Türkiye,2017,18751802.83
Türkiye,2018,20099161.84
Türkiye,2019,21026573.06
Türkiye,2020,8955713.803
Türkiye,2021,14521397.89
Türkiye,2022,21654041.16
Türkiye,2023,24002097.43
Türkiye,2024,25190062.38
United Kingdom,2013,34274001
United Kingdom,2014,34996057.23
United Kingdom,2015,35316106.38
United Kingdom,2016,36048900.8
United Kingdom,2017,37255438.29
United Kingdom,2018,39405438.68
United Kingdom,2019,37229954.88
United Kingdom,2020,13556954.01
United Kingdom,2021,11539715.07
United Kingdom,2022,24705485.76
United Kingdom,2023,29849606.91
United Kingdom,2024,33272786.32
United States,2013,147617434.8
United States,2014,149116767.4
United States,2015,152125866.4
United States,2016,155638763.7
United States,2017,158316322.6
United States,2018,162895259.3
United States,2019,181430746.8
United States,2020,102693609.8
United States,2021,137988013.7
United States,2022,161224079.2
United States,2023,176928311.1
United States,2024,185703318



